transaction_id,date,amount,flow_purpose,category,subcategory,item_name,source_id,asset_id,pass_num,deal_id,entity_id,entity_type
f858a0f1-f00a-43b6-b4b0-b30fc2e83dd2,2025-10-01,-6.468625265300419e-09,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
ad48037e-2ef9-4706-97f3-9d77baaea6de,2025-11-01,-1.330358065741544e-05,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
23f755c8-f175-4d60-b895-589a9cd83fd9,2025-12-01,-0.010247201457935609,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
49c906c6-a9f7-4bba-9215-8883dca2c9d6,2026-01-01,-2.97091583603522,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
a89c473a-a441-44d3-b2d7-f592af83f30f,2026-02-01,-326.399738716903,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
c686cc05-56a1-4ccc-83b9-1d323b755b15,2026-03-01,-13709.558613888523,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
fc87c69f-dc7c-4e5a-8e13-f92f690385a5,2026-04-01,-222562.4327321107,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
129dc3c5-6b75-49c4-9fca-c44d09e7d7e4,2026-05-01,-1413413.26862609,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
74e5c0cd-5963-4adc-bcb0-0577192adeea,2026-06-01,-3549985.359112846,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
b96b31e0-403e-4088-9b4a-a1b1a1d823ff,2026-07-01,-3549985.359112846,Capital Use,Capital,Hard Costs,Construction - Core & Shell,f8657559-30b1-4480-a750-f7813093431d,55762f3d-7d52-465c-865a-4078353a1095,1,,,
