period,debt_service
2024-01,-81891.28136828744
2024-02,-81891.28136828744
2024-03,-81891.28136828744
2024-04,-81891.28136828744
2024-05,-81891.28136828744
2024-06,-81891.28136828744
2024-07,-81891.28136828744
2024-08,-81891.28136828744
2024-09,-81891.28136828744
2024-10,-81891.28136828744
2024-11,-81891.28136828744
2024-12,-81891.28136828744
2025-01,-81891.28136828744
2025-02,-81891.28136828744
2025-03,-81891.28136828744
2025-04,-81891.28136828744
2025-05,-81891.28136828744
2025-06,-81891.28136828744
2025-07,-81891.28136828744
2025-08,-81891.28136828744
2025-09,-81891.28136828744
2025-10,-81891.28136828744
2025-11,-81891.28136828744
2025-12,-81891.28136828744
2026-01,-81891.28136828744
2026-02,-81891.28136828744
2026-03,-81891.28136828744
2026-04,-81891.28136828744
2026-05,-81891.28136828744
2026-06,-81891.28136828744
2026-07,-81891.28136828744
2026-08,-81891.28136828744
2026-09,-81891.28136828744
2026-10,-81891.28136828744
2026-11,-81891.28136828744
2026-12,-81891.28136828744
2027-01,-81891.28136828744
2027-02,-81891.28136828744
2027-03,-81891.28136828744
2027-04,-81891.28136828744
2027-05,-81891.28136828744
2027-06,-81891.28136828744
2027-07,-81891.28136828744
2027-08,-81891.28136828744
2027-09,-81891.28136828744
2027-10,-81891.28136828744
2027-11,-81891.28136828744
2027-12,-81891.28136828744
2028-01,-81891.28136828744
2028-02,-81891.28136828744
2028-03,-81891.28136828744
2028-04,-81891.28136828744
2028-05,-81891.28136828744
2028-06,-81891.28136828744
2028-07,-81891.28136828744
2028-08,-81891.28136828744
2028-09,-81891.28136828744
2028-10,-81891.28136828744
2028-11,-81891.28136828744
2028-12,-81891.28136828744
2029-01,-81891.28136828744
2029-02,-81891.28136828744
2029-03,-81891.28136828744
2029-04,-81891.28136828744
2029-05,-81891.28136828744
2029-06,-81891.28136828744
