period,equity_contributions
2024-01,5489978.029624998
2024-02,10509.55
2024-03,10509.55
2024-04,10509.55
2024-05,10509.55
2024-06,10509.55
2024-07,10509.55
2024-08,10509.55
2024-09,10509.55
2024-10,10509.55
2024-11,10509.55
2024-12,10509.55
2025-01,10509.55
2025-02,10509.55
2025-03,10509.55
2025-04,10509.55
2025-05,10509.55
2025-06,10509.55
2025-07,10509.55
2025-08,10509.55
2025-09,10509.550000019886
2025-10,10509.550008150925
2025-11,10509.551700262502
2025-12,10509.737422659018
2026-01,10521.985526509734
2026-02,11094.039905377176
2026-03,27826.206129258004
2026-04,259018.33138706276
2026-05,264878.87936698366
