period,noi
2024-01,-56400.0
2024-02,-56550.404947916664
2024-03,-56701.21594889323
2024-04,-56852.43411111768
2024-05,-57004.06054583118
2024-06,-57156.09636733661
2024-07,-57308.54269300707
2024-08,-57461.40064329431
2024-09,-57614.67134173743
2024-10,-57768.355914971326
2024-11,-57922.4554927354
2024-12,-58076.97120788206
2025-01,-58231.90419638551
2025-02,-58387.25559735033
2025-03,-58543.02655302018
2025-04,-31615.884875453205
2025-05,-4689.165046530805
2025-06,22237.131782033644
2025-07,49163.00445535262
2025-08,76088.45181535566
2025-09,103013.4727007805
2025-10,118563.06594716424
2025-11,143862.23038683442
2025-12,169160.96484890004
2026-01,169000.93482590944
2026-02,168840.4724738412
2026-03,168679.57661209517
2026-04,168518.24605681683
2026-05,168356.47962088816
2026-06,168194.27611391875
2026-07,168031.63434223644
2026-08,167868.55310887843
2026-09,167705.031213582
2026-10,167541.0674527754
2026-11,167376.66061956866
2026-12,167211.80950374433
2027-01,167046.51289174822
2027-02,166880.76956668016
2027-03,166714.57830828472
2027-04,166547.93789294182
2027-05,166380.84709365744
2027-06,166213.30468005416
2027-07,166045.30941836193
2027-08,165876.8600714083
2027-09,165707.95539860943
2027-10,165538.59415596016
2027-11,165368.7750960248
2027-12,165198.4969679274
2028-01,165027.75851734236
2028-02,164856.5584864847
2028-03,164684.89561410045
2028-04,164512.76863545718
2028-05,164340.17628233405
2028-06,164167.11728301234
2028-07,163993.59036226565
2028-08,163819.59424135005
2028-09,163645.12763799448
2028-10,163470.1892663908
2028-11,163294.77783718402
2028-12,163118.89205746245
2029-01,162942.53063074767
2029-02,162765.69225698488
2029-03,162588.37563253267
2029-04,162410.57945015322
2029-05,162232.30239900225
2029-06,162053.54316461898
