period,operational_cash_flow
2024-01,308578.0296249978
2024-02,-46040.85494791667
2024-03,-46191.665948893235
2024-04,-46342.88411111767
2024-05,-46494.510545831174
2024-06,-46646.54636733662
2024-07,-46798.992693007065
2024-08,-46951.85064329431
2024-09,-47105.121341737424
2024-10,-47258.80591497132
2024-11,-47412.9054927354
2024-12,-47567.42120788206
2025-01,-47722.35419638551
2025-02,-47877.70559735033
2025-03,-48033.476553020184
2025-04,-21106.334875453205
2025-05,5820.384953469194
2025-06,32746.681782033644
2025-07,59672.55445535261
2025-08,86598.00181535566
2025-09,113523.02270080039
2025-10,129072.61595531517
2025-11,154371.78208709692
2025-12,179670.70227155904
2026-01,179522.92035241917
2026-02,179934.51237921836
2026-03,196505.78274135318
2026-04,427536.57744387956
2026-05,1688711.0281500549
2026-06,3914436.2755054515
2026-07,3914273.6337337694
2026-08,1688223.1016380454
2026-09,426723.3626006447
2026-10,195367.27358203355
2026-11,178470.70052494534
2026-12,177733.79503025394
2027-01,177556.25031440728
2027-02,177390.32126694274
2027-03,177224.12831643617
2027-04,177057.4878929617
2027-05,176890.39709365743
2027-06,176722.85468005415
2027-07,176554.8594183619
2027-08,176386.4100714083
2027-09,176217.5053986094
2027-10,176048.14415596015
2027-11,175878.32509602478
2027-12,175708.0469679274
2028-01,175537.30851734235
2028-02,175366.10848648468
2028-03,175194.44561410043
2028-04,175022.31863545717
2028-05,174849.72628233404
2028-06,174676.66728301233
2028-07,174503.14036226564
2028-08,174329.14424135003
2028-09,174154.67763799446
2028-10,173979.7392663908
2028-11,173804.327837184
2028-12,173628.44205746244
2029-01,162942.53063074767
2029-02,162765.69225698488
2029-03,162588.37563253267
2029-04,162410.57945015322
2029-05,162232.30239900225
2029-06,162053.54316461898
