,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,Total
Credit Loss,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-1,896","$-2,167","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-2,438","$-108,875"
Lease,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$27,083","$54,167","$81,250","$108,333","$135,417","$162,500","$189,583","$216,667","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750","$243,750",$11.5M
Sale,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$29.3M,$0,$0,$0,$0,$0,$29.3M
Vacancy Loss,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-9,479","$-10,833","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-12,188","$-544,375"
  Revenue Subtotal,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$27,083","$54,167","$81,250","$108,333","$135,417","$162,500","$178,208","$203,667","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125","$229,125",$29.6M,"$229,125","$229,125","$229,125","$229,125","$229,125",$40.1M
OpEx,"$-56,400","$-56,550","$-56,701","$-56,852","$-57,004","$-57,156","$-57,309","$-57,461","$-57,615","$-57,768","$-57,922","$-58,077","$-58,232","$-58,387","$-58,543","$-58,699","$-58,856","$-59,013","$-59,170","$-59,328","$-59,487","$-59,645","$-59,804","$-59,964","$-60,124","$-60,285","$-60,445","$-60,607","$-60,769","$-60,931","$-61,093","$-61,256","$-61,420","$-61,584","$-61,748","$-61,913","$-62,078","$-62,244","$-62,410","$-62,577","$-62,744","$-62,912","$-63,080","$-63,248","$-63,417","$-63,586","$-63,756","$-63,927","$-64,097","$-64,268","$-64,440","$-64,612","$-64,785","$-64,958","$-65,131","$-65,305","$-65,480","$-65,655","$-65,830","$-66,006","$-66,182","$-66,359","$-66,537","$-66,714","$-66,893","$-67,071",$-4.1M
Closing Costs,"$-125,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-125,000"
Hard Costs,"$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,522","$-11,094","$-27,826","$-259,018",$-1.5M,$-3.7M,$-3.7M,$-1.5M,"$-259,018","$-27,826","$-11,094","$-10,522","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510",$0,$0,$0,$0,$0,$0,$-11.7M
Purchase Price,$-5.0M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-5.0M
Soft Costs,"$-354,468",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-354,468"
