,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Potential Gross Revenue,1218750.0,2925000.0000000005,2925000.0000000005,2925000.0000000005,1462500.0000000002
Rental Abatement,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,32500.000000000007,146250.00000000003,146250.00000000003,146250.00000000003,73125.00000000001
Credit Loss,6500.000000000001,29250.000000000007,29250.000000000007,29250.000000000007,14625.000000000004
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,1179750.0,2749500.0000000005,2749500.0000000005,2749500.0000000005,1374750.0000000002
Total Operating Expenses,-533966.727985563,-732175.2580557454,-755980.0584583418,-780568.5537786217,-399756.97646596044
Net Operating Income,645783.2720144371,2017324.7419442548,1993519.9415416585,1968931.4462213786,974993.0235340397
Debt Service,-737021.5323145869,-982695.3764194492,-982695.3764194492,-982695.3764194492,-491347.6882097246
Levered Cash Flow,-91238.26030014986,1034629.3655248052,1010824.5651222093,986236.0698019292,28948322.421653114
