,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31,2027-01-31,2027-02-28,2027-03-31,2027-04-30,2027-05-31,2027-06-30,2027-07-31,2027-08-31,2027-09-30,2027-10-31,2027-11-30,2027-12-31,2028-01-31,2028-02-29,2028-03-31,2028-04-30,2028-05-31,2028-06-30,2028-07-31,2028-08-31,2028-09-30,2028-10-31,2028-11-30,2028-12-31,2029-01-31,2029-02-28,2029-03-31,2029-04-30,2029-05-31,2029-06-30
Potential Gross Revenue,27083.333333333336,54166.66666666667,81250.0,108333.33333333334,135416.6666666667,162500.0,189583.33333333334,216666.6666666667,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003,243750.00000000003
Rental Abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,0.0,0.0,0.0,0.0,0.0,0.0,9479.166666666668,10833.333333333336,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002,12187.500000000002
Credit Loss,0.0,0.0,0.0,0.0,0.0,0.0,1895.8333333333335,2166.666666666667,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005,2437.5000000000005
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,27083.333333333336,54166.66666666667,81250.0,108333.33333333334,135416.6666666667,162500.0,178208.33333333334,203666.6666666667,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003,229125.00000000003
Total Operating Expenses,-58699.21820878654,-58855.831713197476,-59012.86821796636,-59170.328877980726,-59328.214851311015,-59486.52729921951,-59645.2673861691,-59804.436279832276,-59964.035151099975,-60124.065174090574,-60284.52752615882,-60445.42338790485,-60606.753943183205,-60768.52037911185,-60930.72388608127,-61093.36565776359,-61256.446891121595,-61419.96878641803,-61583.93254722461,-61748.33938043135,-61913.190496255695,-62078.48710825181,-62244.23043331987,-62410.42169171531,-62577.06210705821,-62744.15290634259,-62911.69531994585,-63079.690581638104,-63248.13992859171,-63417.04460139059,-63586.40584403986,-63756.22490397523,-63926.50303207262,-64097.241482657664,-64268.44151351534,-64440.10438589956,-64612.23136454285,-64784.82371766597,-64957.88271698767,-65131.409637734374,-65305.40575864996,-65479.87236200554,-65654.8107336092,-65830.22216281598,-66006.10794253758,-66182.46936925234,-66359.30774301515,-66536.62436746736,-66714.4205498468,-66892.69760099778,-67071.45683538102
Net Operating Income,-31615.884875453205,-4689.165046530805,22237.131782033644,49163.00445535262,76088.45181535566,103013.4727007805,118563.06594716424,143862.23038683442,169160.96484890004,169000.93482590944,168840.4724738412,168679.57661209517,168518.24605681683,168356.47962088816,168194.27611391875,168031.63434223644,167868.55310887843,167705.031213582,167541.0674527754,167376.66061956866,167211.80950374433,167046.51289174822,166880.76956668016,166714.57830828472,166547.93789294182,166380.84709365744,166213.30468005416,166045.30941836193,165876.8600714083,165707.95539860943,165538.59415596016,165368.7750960248,165198.4969679274,165027.75851734236,164856.5584864847,164684.89561410045,164512.76863545718,164340.17628233405,164167.11728301234,163993.59036226565,163819.59424135005,163645.12763799448,163470.1892663908,163294.77783718402,163118.89205746245,162942.53063074767,162765.69225698488,162588.37563253267,162410.57945015322,162232.30239900225,162053.54316461898
Debt Service,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744,-81891.28136828744
