period,capex
2024-01,-364978.0296249978
2024-02,-10509.55
2024-03,-10509.55
2024-04,-10509.55
2024-05,-10509.55
2024-06,-10509.55
2024-07,-10509.55
2024-08,-10509.55
2024-09,-10509.55
2024-10,-10509.55
2024-11,-10509.55
2024-12,-10509.55
2025-01,-10509.55
2025-02,-10509.55
2025-03,-10509.55
2025-04,-10509.55
2025-05,-10509.55
2025-06,-10509.55
2025-07,-10509.55
2025-08,-10509.55
2025-09,-10509.550000019886
2025-10,-10509.550008150925
2025-11,-10509.551700262502
2025-12,-10509.737422659018
2026-01,-10521.985526509734
2026-02,-11094.039905377176
2026-03,-27826.206129258004
2026-04,-259018.33138706276
2026-05,-1520354.5485291667
2026-06,-3746241.999391533
2026-07,-3746241.999391533
2026-08,-1520354.548529167
2026-09,-259018.33138706273
2026-10,-27826.206129258157
2026-11,-11094.039905376667
2026-12,-10521.985526509608
2027-01,-10509.737422659056
2027-02,-10509.551700262577
2027-03,-10509.550008151447
2027-04,-10509.550000019883
2027-05,-10509.55
2027-06,-10509.55
2027-07,-10509.55
2027-08,-10509.55
2027-09,-10509.55
2027-10,-10509.55
2027-11,-10509.55
2027-12,-10509.55
2028-01,-10509.55
2028-02,-10509.55
2028-03,-10509.55
2028-04,-10509.55
2028-05,-10509.55
2028-06,-10509.55
2028-07,-10509.55
2028-08,-10509.55
2028-09,-10509.55
2028-10,-10509.55
2028-11,-10509.55
2028-12,-10509.55
