period,equity_partner_flows
2024-01,5464486.74825671
2024-02,-14831.32642037078
2024-03,-14680.51541939421
2024-04,-14529.297257169765
2024-05,-14377.670822456266
2024-06,-14225.635000950828
2024-07,-14073.188675280371
2024-08,-13920.330724993128
2024-09,-13767.060026550018
2024-10,-13613.375453316115
2024-11,-13459.275875552043
2024-12,-13304.760160405382
2025-01,-13149.827171901932
2025-02,-12994.475770937108
2025-03,-12838.70481526726
2025-04,-39765.84649283423
2025-05,-66692.56632175665
2025-06,-93618.86315032108
2025-07,-120544.73582364006
2025-08,-147470.1831836431
2025-09,-174395.20406904805
2025-10,-189944.79730730073
2025-11,-215243.96005485937
2025-12,-240542.5087945285
2026-01,-240370.23066768714
2026-02,-239637.71393675145
2026-03,-222744.65185112465
2026-04,8608.803961958474
2026-05,14631.118377808074
2026-06,-250085.5574822062
2026-07,-249922.9157105239
2026-08,-249759.8344771659
2026-09,-249596.31258186942
2026-10,-249432.34882106286
2026-11,-249267.94198785612
2026-12,-249103.09087203175
2027-01,-248937.79426003568
2027-02,-248772.0509349676
2027-03,-248605.85967657214
2027-04,-248439.21926122927
2027-05,-248272.12846194487
2027-06,-248104.5860483416
2027-07,-247936.59078664938
2027-08,-247768.14143969576
2027-09,-247599.23676689685
2027-10,-247429.8755242476
2027-11,-247260.05646431225
2027-12,-247089.77833621486
2028-01,-246919.03988562978
2028-02,-246747.83985477214
2028-03,-246576.1769823879
2028-04,-246404.0500037446
2028-05,-246231.45765062148
2028-06,-246058.39865129977
2028-07,-245884.8717305531
2028-08,-245710.87560963747
2028-09,-245536.40900628193
2028-10,-245361.47063467826
2028-11,-245186.05920547148
2028-12,-245010.17342574988
2029-01,-28709510.898327835
2029-02,-244656.97362527234
2029-03,-244479.6570008201
2029-04,-244301.86081844068
2029-05,-244123.58376728973
2029-06,-243944.82453290644
