,2024,2025,2026,2027,2028,2029,2030,Total
Lease,$1.0M,$2.1M,$2.2M,$2.2M,$2.2M,$2.2M,$2.2M,$14.1M
Sale,$0,$0,$0,$0,$0,$42.8M,$0,$42.8M
  Revenue Subtotal,$1.0M,$2.1M,$2.2M,$2.2M,$2.2M,$45.0M,$2.2M,$56.9M
Closing Costs,"$-240,000",$0,$0,$0,$0,$0,$0,"$-240,000"
Hard Costs,$-21.4M,"$-373,591",$0,$0,$0,$0,$0,$-21.8M
Purchase Price,$-8.0M,$0,$0,$0,$0,$0,$0,$-8.0M
Soft Costs,"$-955,908",$0,$0,$0,$0,$0,$0,"$-955,908"
Transaction Costs,$0,$0,$0,$0,$0,$-1.3M,$0,$-1.3M
  Capital Subtotal,$-30.6M,"$-373,591",$0,$0,$0,$-1.3M,$0,$-32.3M
Equity Contribution,$9.7M,$0,$0,$0,$0,$0,$0,$9.7M
Equity Distribution,$-2.6M,$-3.6M,$-3.7M,$-3.7M,$-3.7M,$-45.3M,$-3.7M,$-66.2M
Interest Payment,$-1.2M,$-1.2M,$-1.2M,$-1.2M,$-1.1M,$-1.1M,$-1.1M,$-8.1M
Loan Proceeds,$22.0M,$0,$0,$0,$0,$0,$0,$22.0M
Principal Payment,"$-299,390","$-316,278","$-334,119","$-352,966","$-372,876","$-393,909","$-416,129",$-2.5M
Refinancing Payoff,$0,$0,$-22.0M,$0,$0,$0,$0,$-22.0M
Refinancing Proceeds,$0,$0,$22.2M,$0,$0,$0,$0,$22.2M
  Financing Subtotal,$27.6M,$-5.1M,$-5.0M,$-5.2M,$-5.2M,$-46.8M,$-5.2M,$-44.9M
Asset Valuation,$111.7M,$323.9M,$388.9M,$406.0M,$406.1M,$448.9M,$406.1M,$2491.6M
