period,debt_service
2024-01,-126190.98325635518
2024-02,-126190.98325635518
2024-03,-126190.98325635518
2024-04,-126190.98325635518
2024-05,-126190.98325635518
2024-06,-126190.98325635518
2024-07,-126190.98325635518
2024-08,-126190.98325635518
2024-09,-126190.98325635518
2024-10,-126190.98325635518
2024-11,-126190.98325635518
2024-12,-126190.98325635518
2025-01,-126190.98325635518
2025-02,-126190.98325635518
2025-03,-126190.98325635518
2025-04,-126190.98325635518
2025-05,-126190.98325635518
2025-06,-126190.98325635518
2025-07,-126190.98325635518
2025-08,-126190.98325635518
2025-09,-126190.98325635518
2025-10,-126190.98325635518
2025-11,-126190.98325635518
2025-12,-126190.98325635518
2026-01,-126190.98325635518
2026-02,-126190.98325635518
2026-03,-126190.98325635518
2026-04,-126190.98325635518
2026-05,-126190.98325635518
2026-06,-126190.98325635518
2026-07,-126190.98325635518
2026-08,-126190.98325635518
2026-09,-126190.98325635518
2026-10,-126190.98325635518
2026-11,-126190.98325635518
2026-12,-126190.98325635518
2027-01,-126190.98325635518
2027-02,-126190.98325635518
2027-03,-126190.98325635518
2027-04,-126190.98325635518
2027-05,-126190.98325635518
2027-06,-126190.98325635518
2027-07,-126190.98325635518
2027-08,-126190.98325635518
2027-09,-126190.98325635518
2027-10,-126190.98325635518
2027-11,-126190.98325635518
2027-12,-126190.98325635518
2028-01,-126190.98325635518
2028-02,-126190.98325635518
2028-03,-126190.98325635518
2028-04,-126190.98325635518
2028-05,-126190.98325635518
2028-06,-126190.98325635518
2028-07,-126190.98325635518
2028-08,-126190.98325635518
2028-09,-126190.98325635518
2028-10,-126190.98325635518
2028-11,-126190.98325635518
2028-12,-126190.98325635518
2029-01,-126190.98325635518
2029-02,-126190.98325635518
2029-03,-126190.98325635518
2029-04,-126190.98325635518
2029-05,-126190.98325635518
2029-06,-126190.98325635518
2029-07,-126190.98325635518
2029-08,-126190.98325635518
2029-09,-126190.98325635518
2029-10,-126190.98325635518
2029-11,-126190.98325635518
2029-12,-126190.98325635518
2030-01,-126190.98325635518
2030-02,-126190.98325635518
2030-03,-126190.98325635518
2030-04,-126190.98325635518
2030-05,-126190.98325635518
2030-06,-126190.98325635518
2030-07,-126190.98325635518
2030-08,-126190.98325635518
2030-09,-126190.98325635518
2030-10,-126190.98325635518
2030-11,-126190.98325635518
2030-12,-126190.98325635518
