,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,2029-07,2029-08,2029-09,2029-10,2029-11,2029-12,2030-01,2030-02,2030-03,2030-04,2030-05,2030-06,2030-07,2030-08,2030-09,2030-10,2030-11,2030-12,Total
Lease,"$13,440","$26,880","$40,320","$53,760","$67,200","$80,640","$94,080","$107,520","$120,960","$134,400","$147,840","$161,280","$161,280","$170,736","$180,192","$176,208","$174,588","$172,968","$171,348","$169,728","$168,108","$166,488","$168,808","$171,128","$173,448","$166,312","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756",$14.1M
Sale,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$42.8M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$42.8M
  Revenue Subtotal,"$13,440","$26,880","$40,320","$53,760","$67,200","$80,640","$94,080","$107,520","$120,960","$134,400","$147,840","$161,280","$161,280","$170,736","$180,192","$176,208","$174,588","$172,968","$171,348","$169,728","$168,108","$166,488","$168,808","$171,128","$173,448","$166,312","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756",$43.0M,"$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756","$186,756","$186,756","$182,816","$182,816","$182,816","$182,816","$171,784","$170,208","$189,120","$186,756","$186,756","$186,756","$186,756",$56.9M
Closing Costs,"$-240,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-240,000"
Hard Costs,"$-57,600","$-57,600","$-57,600","$-57,606","$-58,251","$-84,935","$-501,355",$-2.9M,$-7.1M,$-7.1M,$-2.9M,"$-501,355","$-84,935","$-58,251","$-57,606","$-57,600","$-57,600","$-57,600",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-21.8M
Purchase Price,$-8.0M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-8.0M
Soft Costs,"$-955,908",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-955,908"
Transaction Costs,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1.3M
  Capital Subtotal,$-9.3M,"$-57,600","$-57,600","$-57,606","$-58,251","$-84,935","$-501,355",$-2.9M,$-7.1M,$-7.1M,$-2.9M,"$-501,355","$-84,935","$-58,251","$-57,606","$-57,600","$-57,600","$-57,600",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-32.3M
Equity Contribution,$9.3M,"$57,600","$57,600","$57,606","$58,251","$84,935","$106,539",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9.7M
