period,capex
2024-01,-1013507.6800000089
2024-02,-57600.0000265253
2024-03,-57600.02043134321
2024-04,-57605.92354911308
2024-05,-58250.79086365709
2024-06,-84934.75071323004
2024-07,-501355.25049356226
2024-08,-2875728.6094452497
2024-09,-7135724.654477306
2024-10,-7135724.654477306
2024-11,-2875728.6094452497
2024-12,-501355.25049356226
2025-01,-84934.75071323026
2025-02,-58250.79086365617
2025-03,-57605.92354911285
2025-04,-57600.02043134328
2025-05,-57600.00002652547
2025-06,-57600.00000001381
