period,equity_partner_flows
2024-01,9113876.696743654
2024-02,-95470.98322982989
2024-03,-108910.96282501196
2024-04,-122345.0597072421
2024-05,-135140.1923926981
2024-06,-121896.23254312514
2024-07,-113732.4668402339
2024-08,-233710.9832563552
2024-09,-247150.98325635516
2024-10,-260590.9832563552
2024-11,-274030.98325635516
2024-12,-287470.98325635516
2025-01,-287470.98325635516
2025-02,-296926.98325635516
2025-03,-306382.98325635516
2025-04,-302398.98325635516
2025-05,-300778.98325635516
2025-06,-299158.98325635516
2025-07,-297538.98325635516
2025-08,-295918.98325635516
2025-09,-294298.98325635516
2025-10,-292678.98325635516
2025-11,-294998.98325635516
2025-12,-297318.98325635516
2026-01,-299638.98325635516
2026-02,-292502.98325635516
2026-03,-296398.98325635516
2026-04,-315310.98325635516
2026-05,-312946.98325635516
2026-06,-312946.98325635516
2026-07,-312946.98325635516
2026-08,-312946.98325635516
2026-09,-312946.98325635516
2026-10,-312946.98325635516
2026-11,-309006.98325635516
2026-12,-309006.98325635516
2027-01,-309006.98325635516
2027-02,-309006.98325635516
2027-03,-297974.9832563552
2027-04,-296398.98325635516
2027-05,-315310.98325635516
2027-06,-312946.98325635516
2027-07,-312946.98325635516
2027-08,-312946.98325635516
2027-09,-312946.98325635516
2027-10,-312946.98325635516
2027-11,-312946.98325635516
2027-12,-309006.98325635516
2028-01,-309006.98325635516
2028-02,-309006.98325635516
2028-03,-309006.98325635516
2028-04,-297974.9832563552
2028-05,-296398.98325635516
2028-06,-315310.98325635516
2028-07,-312946.98325635516
2028-08,-312946.98325635516
2028-09,-312946.98325635516
2028-10,-312946.98325635516
2028-11,-312946.98325635516
2028-12,-312946.98325635516
2029-01,-41849297.72325636
2029-02,-309006.98325635516
2029-03,-309006.98325635516
2029-04,-309006.98325635516
2029-05,-297974.9832563552
2029-06,-296398.98325635516
2029-07,-315310.98325635516
2029-08,-312946.98325635516
2029-09,-312946.98325635516
2029-10,-312946.98325635516
2029-11,-312946.98325635516
2029-12,-312946.98325635516
2030-01,-312946.98325635516
2030-02,-309006.98325635516
2030-03,-309006.98325635516
2030-04,-309006.98325635516
2030-05,-309006.98325635516
2030-06,-297974.9832563552
2030-07,-296398.98325635516
2030-08,-315310.98325635516
2030-09,-312946.98325635516
2030-10,-312946.98325635516
2030-11,-312946.98325635516
2030-12,-312946.98325635516
