period,operational_cash_flow
2024-01,1026947.6800000089
2024-02,84480.00002652529
2024-03,97920.0204313432
2024-04,111365.92354911308
2024-05,125450.79086365708
2024-06,165574.75071323005
2024-07,595435.2504935623
2024-08,2983248.6094452497
2024-09,7256684.654477306
2024-10,7270124.654477306
2024-11,3023568.6094452497
2024-12,662635.2504935623
2025-01,246214.75071323026
2025-02,228986.79086365618
2025-03,237797.92354911286
2025-04,233808.0204313433
2025-05,232188.00002652546
2025-06,230568.0000000138
2025-07,171348.0
2025-08,169728.0
2025-09,168108.0
2025-10,166488.0
2025-11,168808.0
2025-12,171128.0
2026-01,173448.0
2026-02,166312.0
2026-03,170208.0
2026-04,189120.0
2026-05,186756.0
2026-06,186756.0
2026-07,186756.0
2026-08,186756.0
2026-09,186756.0
2026-10,186756.0
2026-11,182816.0
2026-12,182816.0
2027-01,182816.0
2027-02,182816.0
2027-03,171784.0
2027-04,170208.0
2027-05,189120.0
2027-06,186756.0
2027-07,186756.0
2027-08,186756.0
2027-09,186756.0
2027-10,186756.0
2027-11,186756.0
2027-12,182816.0
2028-01,182816.0
2028-02,182816.0
2028-03,182816.0
2028-04,171784.0
2028-05,170208.0
2028-06,189120.0
2028-07,186756.0
2028-08,186756.0
2028-09,186756.0
2028-10,186756.0
2028-11,186756.0
2028-12,186756.0
2029-01,182816.0
2029-02,182816.0
2029-03,182816.0
2029-04,182816.0
2029-05,171784.0
2029-06,170208.0
2029-07,189120.0
2029-08,186756.0
2029-09,186756.0
2029-10,186756.0
2029-11,186756.0
2029-12,186756.0
2030-01,186756.0
2030-02,182816.0
2030-03,182816.0
2030-04,182816.0
2030-05,182816.0
2030-06,171784.0
2030-07,170208.0
2030-08,189120.0
2030-09,186756.0
2030-10,186756.0
2030-11,186756.0
2030-12,186756.0
