,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31,2027-01-31,2027-02-28,2027-03-31,2027-04-30,2027-05-31,2027-06-30,2027-07-31,2027-08-31,2027-09-30,2027-10-31,2027-11-30,2027-12-31,2028-01-31,2028-02-29,2028-03-31,2028-04-30,2028-05-31,2028-06-30,2028-07-31,2028-08-31,2028-09-30,2028-10-31,2028-11-30,2028-12-31
Potential Gross Revenue,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0
Rental Abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Credit Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,0.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0,131100.0
Total Operating Expenses,-27797.083333333336,-27850.304548611115,-27903.664019719334,-27957.162121600843,-28010.79923025843,-28064.575722757974,-28118.49197723151,-28172.548372880403,-28226.74528997845,-28281.08310987507,-28335.562214998434,-28390.182988858614,0.0,-28499.851082258523,-28554.899174256687,-28610.090479914972,-28665.425388200936,-28720.904289183276,-28776.527574035048,-28832.295635036924,-28888.208865580447,-28944.267660171277,-29000.4724144325,-29056.823525107873,-29113.32139006516,0.0,-29226.758979936218,-29283.699506235207,-29340.788389593206,-29398.026033547652,-29455.41284277996,-29512.949223118856,-29570.635581543793,-29628.47232618829,-29686.459866343368,-29744.598612460926,-29802.888976157177,-29861.33137021607,0.0,-29978.67390641688,-30037.574879996348,-30096.629546820484,-30155.838325563684,-30215.201636088845,-30274.719899450884,-30334.393537900243,-30394.222974886416,-30454.20863506147,-30514.350944283608,-30574.650329620694,-30635.10721935385,0.0,-30756.495231220477,-30817.427216014625,-30878.518430533386,-30939.769309177937,-31001.180287584302,-31062.75180262702,-31124.48429242277,-31186.378196334055
Net Operating Income,103302.91666666666,103249.69545138889,103196.33598028067,103142.83787839916,103089.20076974157,103035.42427724203,102981.5080227685,102927.4516271196,102873.25471002155,102818.91689012492,102764.43778500157,102709.8170111414,0.0,102600.14891774148,102545.10082574331,102489.90952008503,102434.57461179906,102379.09571081672,102323.47242596495,102267.70436496308,102211.79113441956,102155.73233982873,102099.5275855675,102043.17647489213,101986.67860993484,0.0,101873.24102006378,101816.3004937648,101759.2116104068,101701.97396645235,101644.58715722004,101587.05077688114,101529.36441845621,101471.52767381171,101413.54013365663,101355.40138753908,101297.11102384282,101238.66862978393,0.0,101121.32609358312,101062.42512000365,101003.37045317951,100944.16167443631,100884.79836391115,100825.28010054912,100765.60646209975,100705.77702511358,100645.79136493853,100585.64905571639,100525.3496703793,100464.89278064616,0.0,100343.50476877953,100282.57278398538,100221.48156946662,100160.23069082206,100098.8197124157,100037.24819737299,99975.51570757723,99913.62180366594
Debt Service,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,0.0,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,0.0,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,0.0,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,0.0,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074,-50336.808074387074
