period,noi
2024-01,103302.91666666666
2024-02,103249.69545138889
2024-03,103196.33598028067
2024-04,103142.83787839916
2024-05,103089.20076974157
2024-06,103035.42427724203
2024-07,102981.5080227685
2024-08,102927.4516271196
2024-09,102873.25471002155
2024-10,102818.91689012492
2024-11,102764.43778500157
2024-12,102709.8170111414
2025-01,-23200.94581605082
2025-02,102600.14891774148
2025-03,102545.10082574331
2025-04,102489.90952008503
2025-05,102434.57461179906
2025-06,102379.09571081672
2025-07,102323.47242596495
2025-08,102267.70436496308
2025-09,102211.79113441956
2025-10,102155.73233982873
2025-11,102099.5275855675
2025-12,102043.17647489213
2026-01,101986.67860993484
2026-02,-23925.96640829939
2026-03,101873.24102006378
2026-04,101816.3004937648
2026-05,101759.2116104068
2026-06,101701.97396645235
2026-07,101644.58715722004
2026-08,101587.05077688114
2026-09,101529.36441845621
2026-10,101471.52767381171
2026-11,101413.54013365663
2026-12,101355.40138753908
2027-01,101297.11102384282
2027-02,101238.66862978393
2027-03,-24675.92620859273
2027-04,101121.32609358312
2027-05,101062.42512000365
2027-06,101003.37045317951
2027-07,100944.16167443631
2027-08,100884.79836391115
2027-09,100825.28010054912
2027-10,100765.60646209975
2027-11,100705.77702511358
2027-12,100645.79136493853
2028-01,100585.64905571639
2028-02,100525.3496703793
2028-03,100464.89278064616
2028-04,-25451.722042980997
2028-05,100343.50476877953
2028-06,100282.57278398538
2028-07,100221.48156946662
2028-08,100160.23069082206
2028-09,100098.8197124157
2028-10,100037.24819737299
2028-11,99975.51570757723
2028-12,99913.62180366594
