,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,Total
Lease,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$7.3M
Sale,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$16.2M,$16.2M
  Revenue Subtotal,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$0,"$131,100","$131,100","$131,100","$131,100","$131,100","$131,100","$131,100",$16.3M,$23.5M
OpEx,"$-27,797","$-27,850","$-27,904","$-27,957","$-28,011","$-28,065","$-28,118","$-28,173","$-28,227","$-28,281","$-28,336","$-28,390","$-23,201","$-28,500","$-28,555","$-28,610","$-28,665","$-28,721","$-28,777","$-28,832","$-28,888","$-28,944","$-29,000","$-29,057","$-29,113","$-23,926","$-29,227","$-29,284","$-29,341","$-29,398","$-29,455","$-29,513","$-29,571","$-29,628","$-29,686","$-29,745","$-29,803","$-29,861","$-24,676","$-29,979","$-30,038","$-30,097","$-30,156","$-30,215","$-30,275","$-30,334","$-30,394","$-30,454","$-30,514","$-30,575","$-30,635","$-25,452","$-30,756","$-30,817","$-30,879","$-30,940","$-31,001","$-31,063","$-31,124","$-31,186",$-1.7M
Closing Costs,"$-300,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-300,000"
Purchase Price,$-12.0M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-12.0M
Transaction Costs,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-484,721","$-484,721"
  Capital Subtotal,$-12.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-484,721",$-12.8M
Equity Contribution,$3.2M,"$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500","$10,500",$3.8M
Equity Distribution,"$-153,640","$-153,587","$-153,533","$-153,480","$-153,426","$-153,372","$-153,318","$-153,264","$-153,210","$-153,156","$-153,101","$-153,047","$-27,136","$-152,937","$-152,882","$-152,827","$-152,771","$-152,716","$-152,660","$-152,605","$-152,549","$-152,493","$-152,436","$-152,380","$-152,323","$-26,411","$-152,210","$-152,153","$-152,096","$-152,039","$-151,981","$-151,924","$-151,866","$-151,808","$-151,750","$-151,692","$-151,634","$-151,575","$-25,661","$-151,458","$-151,399","$-151,340","$-151,281","$-151,222","$-151,162","$-151,102","$-151,043","$-150,983","$-150,922","$-150,862","$-150,802","$-24,885","$-150,680","$-150,619","$-150,558","$-150,497","$-150,436","$-150,374","$-150,312",$-8.4M,$-16.8M
