period,debt_service
2024-01,-50336.808074387074
2024-02,-50336.808074387074
2024-03,-50336.808074387074
2024-04,-50336.808074387074
2024-05,-50336.808074387074
2024-06,-50336.808074387074
2024-07,-50336.808074387074
2024-08,-50336.808074387074
2024-09,-50336.808074387074
2024-10,-50336.808074387074
2024-11,-50336.808074387074
2024-12,-50336.808074387074
2025-01,-50336.808074387074
2025-02,-50336.808074387074
2025-03,-50336.808074387074
2025-04,-50336.808074387074
2025-05,-50336.808074387074
2025-06,-50336.808074387074
2025-07,-50336.808074387074
2025-08,-50336.808074387074
2025-09,-50336.808074387074
2025-10,-50336.808074387074
2025-11,-50336.808074387074
2025-12,-50336.808074387074
2026-01,-50336.808074387074
2026-02,-50336.808074387074
2026-03,-50336.808074387074
2026-04,-50336.808074387074
2026-05,-50336.808074387074
2026-06,-50336.808074387074
2026-07,-50336.808074387074
2026-08,-50336.808074387074
2026-09,-50336.808074387074
2026-10,-50336.808074387074
2026-11,-50336.808074387074
2026-12,-50336.808074387074
2027-01,-50336.808074387074
2027-02,-50336.808074387074
2027-03,-50336.808074387074
2027-04,-50336.808074387074
2027-05,-50336.808074387074
2027-06,-50336.808074387074
2027-07,-50336.808074387074
2027-08,-50336.808074387074
2027-09,-50336.808074387074
2027-10,-50336.808074387074
2027-11,-50336.808074387074
2027-12,-50336.808074387074
2028-01,-50336.808074387074
2028-02,-50336.808074387074
2028-03,-50336.808074387074
2028-04,-50336.808074387074
2028-05,-50336.808074387074
2028-06,-50336.808074387074
2028-07,-50336.808074387074
2028-08,-50336.808074387074
2028-09,-50336.808074387074
2028-10,-50336.808074387074
2028-11,-50336.808074387074
2028-12,-50336.808074387074
