period,equity_partner_flows
2024-01,3042540.456287454
2024-02,-143086.50352577597
2024-03,-143033.14405466773
2024-04,-142979.64595278626
2024-05,-142926.00884412864
2024-06,-142872.2323516291
2024-07,-142818.31609715556
2024-08,-142764.2597015067
2024-09,-142710.06278440863
2024-10,-142655.724964512
2024-11,-142601.24585938864
2024-12,-142546.62508552847
2025-01,-16635.86225833626
2025-02,-142436.95699212857
2025-03,-142381.9089001304
2025-04,-142326.7175944721
2025-05,-142271.38268618615
2025-06,-142215.9037852038
2025-07,-142160.28050035203
2025-08,-142104.51243935016
2025-09,-142048.59920880664
2025-10,-141992.5404142158
2025-11,-141936.33565995458
2025-12,-141879.98454927924
2026-01,-141823.48668432192
2026-02,-15910.841666087683
2026-03,-141710.04909445086
2026-04,-141653.10856815186
2026-05,-141596.0196847939
2026-06,-141538.78204083943
2026-07,-141481.3952316071
2026-08,-141423.85885126822
2026-09,-141366.1724928433
2026-10,-141308.3357481988
2026-11,-141250.3482080437
2026-12,-141192.20946192616
2027-01,-141133.9190982299
2027-02,-141075.47670417104
2027-03,-15160.881865794347
2027-04,-140958.1341679702
2027-05,-140899.23319439075
2027-06,-140840.17852756658
2027-07,-140780.96974882338
2027-08,-140721.60643829821
2027-09,-140662.0881749362
2027-10,-140602.41453648682
2027-11,-140542.58509950066
2027-12,-140482.5994393256
2028-01,-140422.45713010346
2028-02,-140362.1577447664
2028-03,-140301.70085503324
2028-04,-14385.08603140608
2028-05,-140180.31284316664
2028-06,-140119.3808583725
2028-07,-140058.2896438537
2028-08,-139997.03876520914
2028-09,-139935.62778680277
2028-10,-139874.05627176008
2028-11,-139812.3237819643
2028-12,-8342290.885659168
