,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,2029-07,2029-08,2029-09,2029-10,2029-11,2029-12,2030-01,2030-02,2030-03,2030-04,2030-05,2030-06,2030-07,2030-08,2030-09,2030-10,2030-11,2030-12,Total
Lease,"$120,000","$120,000","$120,000",$0,$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000",$10.0M
Sale,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$15.6M,$15.6M
  Revenue Subtotal,"$120,000","$120,000","$120,000",$0,$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,"$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000","$132,000",$0,$15.7M,$25.6M
OpEx,"$-29,636","$-29,690","$-29,743","$-23,797","$-23,850","$-30,504","$-30,558","$-30,612","$-30,666","$-30,721","$-30,775","$-30,830","$-30,885","$-30,940","$-30,995","$-31,050","$-31,105","$-24,561","$-31,216","$-31,272","$-31,328","$-31,384","$-31,440","$-31,497","$-31,553","$-31,610","$-31,667","$-31,724","$-31,781","$-31,838","$-25,295","$-31,953","$-32,011","$-32,069","$-32,127","$-32,185","$-32,243","$-32,301","$-32,360","$-32,419","$-32,478","$-32,537","$-32,596","$-26,055","$-32,715","$-32,774","$-32,834","$-32,894","$-32,954","$-33,015","$-33,075","$-33,136","$-33,196","$-33,257","$-33,318","$-33,379","$-26,841","$-33,502","$-33,564","$-33,626","$-33,688","$-33,750","$-33,812","$-33,875","$-33,938","$-34,000","$-34,063","$-34,127","$-34,190","$-27,653","$-34,317","$-34,381","$-34,445","$-34,509","$-34,573","$-34,638","$-34,702","$-34,767","$-34,832","$-34,897","$-34,963","$-35,028","$-28,494","$-35,160",$-2.7M
Closing Costs,"$-230,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-230,000"
Hard Costs,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1.0M
Purchase Price,$-11.5M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-11.5M
Soft Costs,"$-605,073",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-605,073"
Transaction Costs,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-468,447","$-468,447"
  Capital Subtotal,$-12.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000","$-40,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-468,447",$-13.8M
