,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31,2027-01-31,2027-02-28,2027-03-31,2027-04-30,2027-05-31,2027-06-30,2027-07-31,2027-08-31,2027-09-30,2027-10-31,2027-11-30,2027-12-31,2028-01-31,2028-02-29,2028-03-31,2028-04-30,2028-05-31,2028-06-30,2028-07-31,2028-08-31,2028-09-30,2028-10-31,2028-11-30,2028-12-31,2029-01-31,2029-02-28,2029-03-31,2029-04-30,2029-05-31,2029-06-30,2029-07-31,2029-08-31,2029-09-30,2029-10-31,2029-11-30,2029-12-31,2030-01-31,2030-02-28,2030-03-31,2030-04-30,2030-05-31,2030-06-30,2030-07-31,2030-08-31,2030-09-30,2030-10-31,2030-11-30,2030-12-31
Potential Gross Revenue,120000.0,120000.0,120000.0,0.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0
Rental Abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Credit Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,120000.0,120000.0,120000.0,0.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,0.0,132000.0
Total Operating Expenses,-29636.458333333336,-29689.72005208334,-29743.118856879348,0.0,0.0,-30504.14147595998,-30558.09231852977,-30612.182099124184,-30666.411191259773,-30720.77996950043,-30775.28880946047,-30829.93808780766,-30884.7281822663,-30939.659471620314,-30994.73233571633,-31049.947155466773,-31105.30431285298,0.0,-31216.44717382127,-31272.233646738674,-31328.163995968745,-31384.238608884298,-31440.45787394591,-31496.822180705076,-31553.33191980739,-31609.987482995763,-31666.78926311358,-31723.73765410797,-31780.833051032976,-31838.075850052825,0.0,-31953.00524460418,-32010.692638044184,-32068.529029402518,-32126.514820443055,-32184.65041405941,-32242.936214278274,-32301.372626262688,-32359.9600563154,-32418.698911882173,-32477.58960155512,-32536.63253507608,-32595.828123339958,0.0,-32714.678913461663,-32774.33494290504,-32834.145282269215,-32894.11034826522,-32954.23055877751,-33014.50633286744,-33074.93809077667,-33135.526253930635,-33196.27124494203,-33257.17348761423,-33318.233406944826,-33379.45142912909,0.0,-33502.36349284921,-33564.05839279566,-33625.913112424045,-33687.928083970866,-33750.103740891514,-33812.44051786385,-33874.93885079173,-33937.59917680866,-34000.42193428136,-34063.407562813365,-34126.55650324871,-34189.86919767548,0.0,-34316.9876230981,-34380.79424452349,-34444.76640080674,-34508.904540311334,-34573.209112666875,-34637.68056877281,-34702.319360802176,-34767.12594220528,-34832.100767713506,-34897.24429334303,-34962.5569763986,-35028.03927547733,0.0,-35159.51456257724
Net Operating Income,90363.54166666667,90310.27994791666,90256.88114312066,0.0,0.0,101495.85852404003,101441.90768147023,101387.81790087582,101333.58880874023,101279.22003049956,101224.71119053953,101170.06191219234,101115.27181773371,101060.34052837969,101005.26766428367,100950.05284453323,100894.69568714702,0.0,100783.55282617873,100727.76635326132,100671.83600403125,100615.7613911157,100559.54212605409,100503.17781929493,100446.66808019261,100390.01251700424,100333.21073688642,100276.26234589203,100219.16694896702,100161.92414994718,0.0,100046.99475539582,99989.30736195581,99931.47097059748,99873.48517955694,99815.34958594058,99757.06378572172,99698.62737373731,99640.03994368459,99581.30108811783,99522.41039844487,99463.36746492393,99404.17187666004,0.0,99285.32108653833,99225.66505709496,99165.85471773078,99105.88965173477,99045.7694412225,98985.49366713256,98925.06190922334,98864.47374606936,98803.72875505798,98742.82651238577,98681.76659305517,98620.54857087092,0.0,98497.63650715079,98435.94160720434,98374.08688757595,98312.07191602913,98249.89625910849,98187.55948213614,98125.06114920827,98062.40082319135,97999.57806571864,97936.59243718663,97873.4434967513,97810.13080232452,0.0,97683.0123769019,97619.2057554765,97555.23359919326,97491.09545968867,97426.79088733313,97362.31943122718,97297.68063919782,97232.87405779472,97167.8992322865,97102.75570665697,97037.4430236014,96971.96072452267,0.0,96840.48543742276
Debt Service,-47543.446637221576,-48954.03691499935,-50364.62719277712,0.0,0.0,-54596.39802611046,-56006.98830388824,-57417.57858166601,-58828.168859443795,-60238.759137221576,-61649.34941499935,-63059.93969277712,-64470.529970554904,-65881.12024833268,-67291.71052611046,-68702.30080388824,-70112.89108166602,0.0,-72934.07163722158,-74344.66191499935,-75755.25219277712,-77165.8424705549,-78576.43274833268,-79987.02302611046,-81397.61330388823,-82808.20358166599,-84218.79385944377,-85629.38413722155,-87039.97441499933,-88450.5646927771,0.0,-91271.74524833265,-92682.33552611043,-94092.9258038882,-95503.51608166598,-96914.10635944374,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,0.0,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,0.0,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,0.0,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,-46132.856359443795,0.0,-46132.856359443795
