period,debt_service
2024-01,-47543.446637221576
2024-02,-48954.03691499935
2024-03,-50364.62719277712
2024-04,-51775.217470554904
2024-05,-53185.807748332685
2024-06,-54596.39802611046
2024-07,-56006.98830388824
2024-08,-57417.57858166601
2024-09,-58828.168859443795
2024-10,-60238.759137221576
2024-11,-61649.34941499935
2024-12,-63059.93969277712
2025-01,-64470.529970554904
2025-02,-65881.12024833268
2025-03,-67291.71052611046
2025-04,-68702.30080388824
2025-05,-70112.89108166602
2025-06,-71523.4813594438
2025-07,-72934.07163722158
2025-08,-74344.66191499935
2025-09,-75755.25219277712
2025-10,-77165.8424705549
2025-11,-78576.43274833268
2025-12,-79987.02302611046
2026-01,-81397.61330388823
2026-02,-82808.20358166599
2026-03,-84218.79385944377
2026-04,-85629.38413722155
2026-05,-87039.97441499933
2026-06,-88450.5646927771
2026-07,-89861.15497055487
2026-08,-91271.74524833265
2026-09,-92682.33552611043
2026-10,-94092.9258038882
2026-11,-95503.51608166598
2026-12,-96914.10635944374
2027-01,-46132.856359443795
2027-02,-46132.856359443795
2027-03,-46132.856359443795
2027-04,-46132.856359443795
2027-05,-46132.856359443795
2027-06,-46132.856359443795
2027-07,-46132.856359443795
2027-08,-46132.856359443795
2027-09,-46132.856359443795
2027-10,-46132.856359443795
2027-11,-46132.856359443795
2027-12,-46132.856359443795
2028-01,-46132.856359443795
2028-02,-46132.856359443795
2028-03,-46132.856359443795
2028-04,-46132.856359443795
2028-05,-46132.856359443795
2028-06,-46132.856359443795
2028-07,-46132.856359443795
2028-08,-46132.856359443795
2028-09,-46132.856359443795
2028-10,-46132.856359443795
2028-11,-46132.856359443795
2028-12,-46132.856359443795
2029-01,-46132.856359443795
2029-02,-46132.856359443795
2029-03,-46132.856359443795
2029-04,-46132.856359443795
2029-05,-46132.856359443795
2029-06,-46132.856359443795
2029-07,-46132.856359443795
2029-08,-46132.856359443795
2029-09,-46132.856359443795
2029-10,-46132.856359443795
2029-11,-46132.856359443795
2029-12,-46132.856359443795
2030-01,-46132.856359443795
2030-02,-46132.856359443795
2030-03,-46132.856359443795
2030-04,-46132.856359443795
2030-05,-46132.856359443795
2030-06,-46132.856359443795
2030-07,-46132.856359443795
2030-08,-46132.856359443795
2030-09,-46132.856359443795
2030-10,-46132.856359443795
2030-11,-46132.856359443795
2030-12,-46132.856359443795
