period,equity_partner_flows
2024-01,5540612.605142916
2024-02,-139264.316862916
2024-03,-140621.50833589782
2024-04,-27978.562354508307
2024-05,-29335.478549390107
2024-06,-156092.25655015052
2024-07,-157448.89598535845
2024-08,-158805.39648254184
2024-09,-160161.75766818406
2024-10,-161517.97916772118
2024-11,-162874.06060553892
2024-12,-164230.0016049695
2025-01,-165585.80178828863
2025-02,-166941.4607767124
2025-03,-168296.97819039412
2025-04,-169652.35364842147
2025-05,-171007.58676881302
2025-06,-46962.6771685155
2025-07,-173717.62446340034
2025-08,-175072.42826826067
2025-09,-176427.08819680838
2025-10,-177781.6038616706
2025-11,-179135.9748743868
2025-12,-180490.20084540543
2026-01,-181844.28138408082
2026-02,-183198.21609867024
2026-03,-184552.0045963302
2026-04,-185905.6464831136
2026-05,-187259.14136396634
2026-06,-188612.4888427243
2026-07,-64565.68852210975
2026-08,-191318.74000372848
2026-09,-192671.64288806624
2026-10,-194024.3967744857
2026-11,-195377.00126122293
2026-12,-196729.45594538437
2027-01,-145889.92014516552
2027-02,-145831.48373318114
2027-03,-145772.8963031284
2027-04,-145714.15744756162
2027-05,-145655.2667578887
2027-06,-145596.22382436774
2027-07,-145537.02823610383
2027-08,-20077.679581045704
2027-09,-145418.17744598212
2027-10,-145358.52141653877
2027-11,-145298.7110771746
2027-12,-145238.7460111786
2028-01,-145178.62580066628
2028-02,-145118.35002657637
2028-03,-145057.91826866713
2028-04,-144997.33010551316
2028-05,-144936.58511450177
2028-06,-144875.68287182957
2028-07,-144814.622952499
2028-08,-144753.40493031472
2028-09,-19292.0283778803
2028-10,-144630.49286659458
2028-11,-144568.79796664813
2028-12,-144506.94324701978
2029-01,-144444.92827547292
2029-02,-144382.7526185523
2029-03,-144320.41584157996
2029-04,-144257.91750865208
2029-05,-144195.25718263513
2029-06,-144132.43442516244
2029-07,-144069.44879663043
2029-08,-144006.2998561951
2029-09,-143942.98716176834
2029-10,-18479.510270014267
2029-11,-143815.86873634573
2029-12,-143752.06211492032
2030-01,-143688.08995863708
2030-02,-143623.9518191325
2030-03,-143559.64724677696
2030-04,-143495.17579067097
2030-05,-143430.53699864162
2030-06,-143365.73041723852
2030-07,-143300.7555917303
2030-08,-143235.61206610076
2030-09,-143170.29938304523
2030-10,-143104.81708396645
2030-11,-17639.164708971322
2030-12,-15289419.25907685
