,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31,2030-12-31
Potential Gross Revenue,1284000.0,1452000.0,1452000.0,1452000.0,1452000.0,1452000.0,1452000.0
Rental Abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General Vacancy Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Credit Loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expense Reimbursements,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effective Gross Income,1284000.0,1452000.0,1452000.0,1452000.0,1452000.0,1452000.0,1452000.0
Total Operating Expenses,-303736.1311939383,-343112.73493798665,-350516.14736766386,-358150.2875556108,-366022.6658030513,-374141.04743596714,-382513.4618010749
Net Operating Income,980263.8688060617,1108887.2650620134,1101483.852632336,1093849.7124443892,1085977.3341969487,1077858.9525640327,1069486.538198925
Debt Service,-558659.2927611046,-795221.8366205484,-980009.163009437,-507461.41995388176,-507461.41995388176,-507461.41995388176,-507461.41995388176
Levered Cash Flow,-11308395.423955042,313665.42844146496,121474.68962289917,586388.2924905074,578515.9142430669,570397.5326101511,15708471.035525028
