period,noi
2024-01,90363.54166666667
2024-02,90310.27994791666
2024-03,90256.88114312066
2024-04,-23796.655116046604
2024-05,-23850.329198942578
2024-06,101495.85852404003
2024-07,101441.90768147023
2024-08,101387.81790087582
2024-09,101333.58880874023
2024-10,101279.22003049956
2024-11,101224.71119053953
2024-12,101170.06191219234
2025-01,101115.27181773371
2025-02,101060.34052837969
2025-03,101005.26766428367
2025-04,100950.05284453323
2025-05,100894.69568714702
2025-06,-24560.804190928306
2025-07,100783.55282617873
2025-08,100727.76635326132
2025-09,100671.83600403125
2025-10,100615.7613911157
2025-11,100559.54212605409
2025-12,100503.17781929493
2026-01,100446.66808019261
2026-02,100390.01251700424
2026-03,100333.21073688642
2026-04,100276.26234589203
2026-05,100219.16694896702
2026-06,100161.92414994718
2026-07,-25295.46644844513
2026-08,100046.99475539582
2026-09,99989.30736195581
2026-10,99931.47097059748
2026-11,99873.48517955694
2026-12,99815.34958594058
2027-01,99757.06378572172
2027-02,99698.62737373731
2027-03,99640.03994368459
2027-04,99581.30108811783
2027-05,99522.41039844487
2027-06,99463.36746492393
2027-07,99404.17187666004
2027-08,-26055.176778398094
2027-09,99285.32108653833
2027-10,99225.66505709496
2027-11,99165.85471773078
2027-12,99105.88965173477
2028-01,99045.7694412225
2028-02,98985.49366713256
2028-03,98925.06190922334
2028-04,98864.47374606936
2028-05,98803.72875505798
2028-06,98742.82651238577
2028-07,98681.76659305517
2028-08,98620.54857087092
2028-09,-26840.827981563496
2028-10,98497.63650715079
2028-11,98435.94160720434
2028-12,98374.08688757595
2029-01,98312.07191602913
2029-02,98249.89625910849
2029-03,98187.55948213614
2029-04,98125.06114920827
2029-05,98062.40082319135
2029-06,97999.57806571864
2029-07,97936.59243718663
2029-08,97873.4434967513
2029-09,97810.13080232452
2029-10,-27653.34608942953
2029-11,97683.0123769019
2029-12,97619.2057554765
2030-01,97555.23359919326
2030-02,97491.09545968867
2030-03,97426.79088733313
2030-04,97362.31943122718
2030-05,97297.68063919782
2030-06,97232.87405779472
2030-07,97167.8992322865
2030-08,97102.75570665697
2030-09,97037.4430236014
2030-10,96971.96072452267
2030-11,-28493.691650472476
2030-12,96840.48543742276
